market,volume,market_price,implied_prob,edge,signal,kelly_pct,bet_size,resolved_yes,won,pnl
Iran-US direct talks in 2024? [46],44689.0,0.799,0.826,0.0271,None,0.0,0.0,False,,0.0
Iran currency collapse? [47],160131.0,0.398,0.397,-0.001,None,0.0,0.0,True,,0.0
IAEA inspectors expelled from Iran? [48],472104.0,0.227,0.211,-0.0163,None,0.0,0.0,True,,0.0
Iran missile test before elections? [49],40789.0,0.442,0.504,0.0619,Buy Yes,4.9,35.34,True,True,35.34
Iran internet shutdown >72hrs? [50],415378.0,0.362,0.486,0.1242,Buy Yes,6.66,50.36,True,True,50.36
Iran nuclear deal by Dec 2024? [51],14178.0,0.655,0.647,-0.008,None,0.0,0.0,False,,0.0
Iran protests reach capital? [52],117776.0,0.821,0.97,0.149,Buy Yes,4.27,34.46,False,False,-34.46
Iran sanctions lifted Q1 2025? [53],285755.0,0.231,0.281,0.0497,Buy Yes,3.17,24.49,True,True,24.49
Iran oil exports >2mb/d by year end? [54],93975.0,0.82,0.97,0.1495,Buy Yes,4.53,36.06,True,True,36.06
Iran presidential election held on time? [55],6594.0,0.445,0.479,0.035,Buy Yes,8.86,73.76,True,True,73.76
Iran-US direct talks in 2024? [56],173953.0,0.571,0.726,0.1551,Buy Yes,3.55,32.13,True,True,32.13
Iran currency collapse? [57],288577.0,0.286,0.423,0.1364,Buy Yes,5.62,52.72,True,True,52.72
IAEA inspectors expelled from Iran? [58],71634.0,0.741,0.768,0.0273,None,0.0,0.0,True,,0.0
Iran missile test before elections? [59],337765.0,0.621,0.762,0.1412,Buy Yes,6.26,62.03,True,True,62.03
Iran internet shutdown >72hrs? [60],345113.0,0.52,0.557,0.0373,Buy Yes,3.43,36.17,True,True,36.17
Iran nuclear deal by Dec 2024? [61],170424.0,0.714,0.832,0.118,Buy Yes,3.18,34.61,True,True,34.61
Iran protests reach capital? [62],98864.0,0.15,0.118,0.0321,Buy No,4.61,51.8,False,True,51.8
Iran sanctions lifted Q1 2025? [63],290741.0,0.304,0.402,0.0977,Buy Yes,3.68,43.32,True,True,43.32
Iran oil exports >2mb/d by year end? [64],156005.0,0.214,0.23,0.0157,None,0.0,0.0,False,,0.0
Iran presidential election held on time? [65],119642.0,0.122,0.112,-0.0096,None,0.0,0.0,True,,0.0
Iran-US direct talks in 2024? [66],190757.0,0.354,0.468,0.1139,Buy Yes,3.13,38.15,True,True,38.15
Iran currency collapse? [67],312262.0,0.278,0.238,0.0399,Buy No,3.68,46.31,True,False,-46.31
IAEA inspectors expelled from Iran? [68],486466.0,0.654,0.661,0.0071,None,0.0,0.0,False,,0.0
Iran missile test before elections? [69],452632.0,0.714,0.808,0.0936,Buy Yes,7.85,95.06,True,True,95.06
Iran internet shutdown >72hrs? [70],465509.0,0.295,0.273,-0.0222,None,0.0,0.0,True,,0.0
Iran nuclear deal by Dec 2024? [71],312567.0,0.801,0.814,0.0127,None,0.0,0.0,True,,0.0
Iran protests reach capital? [72],373134.0,0.113,0.109,-0.005,None,0.0,0.0,False,,0.0
Iran sanctions lifted Q1 2025? [73],383461.0,0.326,0.32,-0.0059,None,0.0,0.0,False,,0.0
Iran oil exports >2mb/d by year end? [74],498204.0,0.357,0.386,0.0297,None,0.0,0.0,True,,0.0
Iran presidential election held on time? [75],388696.0,0.329,0.487,0.1576,Buy Yes,5.72,74.73,True,True,74.73
Iran-US direct talks in 2024? [76],47135.0,0.897,0.946,0.0489,Buy Yes,6.81,93.96,False,False,-93.96
Iran currency collapse? [77],442180.0,0.254,0.215,0.0384,Buy No,7.8,100.31,True,False,-100.31
IAEA inspectors expelled from Iran? [78],496686.0,0.634,0.643,0.0089,None,0.0,0.0,False,,0.0
Iran missile test before elections? [79],419763.0,0.33,0.369,0.0399,Buy Yes,7.23,85.82,True,True,85.82
Iran internet shutdown >72hrs? [80],377120.0,0.774,0.682,0.0911,Buy No,4.61,58.7,True,False,-58.7
Iran nuclear deal by Dec 2024? [81],493413.0,0.3,0.262,0.0378,Buy No,3.74,45.41,False,True,45.41
Iran protests reach capital? [82],129152.0,0.763,0.909,0.1465,Buy Yes,6.59,82.92,True,True,82.92
Iran sanctions lifted Q1 2025? [83],385961.0,0.897,0.912,0.0144,None,0.0,0.0,False,,0.0
Iran oil exports >2mb/d by year end? [84],232426.0,0.608,0.586,-0.0213,None,0.0,0.0,True,,0.0
Iran presidential election held on time? [85],308758.0,0.502,0.506,0.0045,None,0.0,0.0,False,,0.0
Iran-US direct talks in 2024? [86],172191.0,0.558,0.582,0.0235,None,0.0,0.0,True,,0.0
Iran currency collapse? [87],231660.0,0.171,0.109,0.0615,Buy No,8.6,115.39,False,True,115.39
IAEA inspectors expelled from Iran? [88],61693.0,0.339,0.313,-0.0261,None,0.0,0.0,False,,0.0
Iran missile test before elections? [89],49054.0,0.613,0.5,0.1125,Buy No,8.03,116.94,True,False,-116.94
Iran internet shutdown >72hrs? [90],26196.0,0.368,0.371,0.0034,None,0.0,0.0,True,,0.0
Iran nuclear deal by Dec 2024? [91],26293.0,0.378,0.532,0.1538,Buy Yes,8.66,116.06,False,False,-116.06
Iran protests reach capital? [92],406428.0,0.781,0.798,0.0175,None,0.0,0.0,False,,0.0
Iran sanctions lifted Q1 2025? [93],280905.0,0.583,0.586,0.0027,None,0.0,0.0,True,,0.0
Iran oil exports >2mb/d by year end? [94],175300.0,0.585,0.478,0.1063,Buy No,6.2,75.95,False,True,75.95
Iran presidential election held on time? [95],417834.0,0.546,0.525,-0.0213,None,0.0,0.0,False,,0.0
Iran-US direct talks in 2024? [96],364719.0,0.651,0.731,0.0804,Buy Yes,5.06,65.77,True,True,65.77
Iran currency collapse? [97],91891.0,0.226,0.223,-0.0027,None,0.0,0.0,False,,0.0
IAEA inspectors expelled from Iran? [98],189450.0,0.536,0.517,-0.0193,None,0.0,0.0,False,,0.0
Iran missile test before elections? [99],179112.0,0.885,0.97,0.0843,Buy Yes,8.51,116.3,True,True,116.3
Iran internet shutdown >72hrs? [100],122262.0,0.351,0.43,0.0792,Buy Yes,4.74,70.2,False,False,-70.2
